event,movement_type_reach,ID,A,W,feedbackMode,buffer,reaching_count,outs_count,indication,count
clickDown,pause,3.5025003405291835,238,42,green,15,1,0,click,28
clickDown,pause,3.5025003405291835,238,42,green,15,1,1,barspace,1
clickDown,pause,3.5025003405291835,238,42,green,15,1,1,click,1
clickDown,pause,3.5025003405291835,238,42,green,15,2,1,barspace,2
clickDown,pause,3.5025003405291835,238,42,green,15,2,1,click,2
clickDown,pause,3.5025003405291835,238,42,none,0,1,0,barspace,22
clickDown,pause,3.5025003405291835,238,42,none,0,1,0,click,23
clickDown,pause,3.5025003405291835,238,42,none,0,1,1,barspace,7
clickDown,pause,3.5025003405291835,238,42,none,0,1,1,click,3
clickDown,pause,3.5025003405291835,238,42,none,0,2,1,barspace,2
clickDown,pause,3.5025003405291835,238,42,none,0,2,1,click,1
clickDown,pause,4.0,336,42,green,0,1,0,barspace,28
clickDown,pause,4.0,336,42,green,0,1,0,click,28
clickDown,pause,4.0,336,42,green,0,1,1,click,1
clickDown,pause,4.0,336,42,green,0,2,1,barspace,4
clickDown,pause,4.0,336,42,green,0,2,1,click,5
clickDown,pause,4.0,336,42,green,15,1,0,barspace,28
clickDown,pause,4.0,336,42,green,15,1,0,click,30
clickDown,pause,4.0,336,42,green,15,1,1,barspace,1
clickDown,pause,4.0,336,42,none,0,1,0,barspace,23
clickDown,pause,4.0,336,42,none,0,1,0,click,24
clickDown,pause,4.0,336,42,none,0,1,1,barspace,2
clickDown,pause,4.0,336,42,none,0,1,1,click,2
clickDown,pause,4.0,336,42,none,0,2,1,barspace,1
clickDown,pause,4.0,336,42,none,0,2,1,click,1
clickDown,pause,4.0,336,42,none,0,2,2,click,1
clickDown,pause,4.0,672,84,green,0,1,0,barspace,26
clickDown,pause,4.0,672,84,green,0,1,0,click,25
clickDown,pause,4.0,672,84,green,0,1,1,barspace,1
clickDown,pause,4.0,672,84,green,0,1,1,click,2
clickDown,pause,4.0,672,84,green,0,2,1,barspace,2
clickDown,pause,4.0,672,84,green,0,2,1,click,1
clickDown,pause,4.0,672,84,green,15,1,0,barspace,23
clickDown,pause,4.0,672,84,green,15,1,0,click,24
clickDown,pause,4.0,672,84,green,15,1,1,barspace,3
clickDown,pause,4.0,672,84,green,15,2,1,barspace,2
clickDown,pause,4.0,672,84,green,15,2,1,click,1
clickDown,pause,4.0,672,84,none,0,1,0,barspace,21
clickDown,pause,4.0,672,84,none,0,1,0,click,26
clickDown,pause,4.0,672,84,none,0,1,1,barspace,4
clickDown,pause,4.0,672,84,none,0,1,1,click,3
clickDown,pause,4.0,672,84,none,0,2,1,barspace,7
clickDown,pause,4.0,672,84,none,0,2,1,click,5
clickDown,pause,4.502500340529183,238,21,green,0,1,0,barspace,20
clickDown,pause,4.502500340529183,238,21,green,0,1,0,click,25
clickDown,pause,4.502500340529183,238,21,green,0,1,1,barspace,5
clickDown,pause,4.502500340529183,238,21,green,0,1,1,click,6
clickDown,pause,4.502500340529183,238,21,green,0,2,1,barspace,2
clickDown,pause,4.502500340529183,238,21,green,0,2,1,click,2
clickDown,pause,4.502500340529183,238,21,green,0,2,2,barspace,1
clickDown,pause,4.502500340529183,238,21,green,0,2,2,click,1
clickDown,pause,4.502500340529183,238,21,green,0,3,2,barspace,1
clickDown,pause,4.502500340529183,238,21,green,0,4,3,barspace,1
clickDown,pause,4.502500340529183,238,21,green,15,1,0,barspace,28
clickDown,pause,4.502500340529183,238,21,green,15,1,0,click,22
clickDown,pause,4.502500340529183,238,21,green,15,1,1,click,1
clickDown,pause,4.502500340529183,238,21,green,15,2,1,barspace,4
clickDown,pause,4.502500340529183,238,21,green,15,2,1,click,2
clickDown,pause,4.502500340529183,238,21,none,0,1,0,barspace,22
clickDown,pause,4.502500340529183,238,21,none,0,1,0,click,22
clickDown,pause,4.502500340529183,238,21,none,0,1,1,barspace,4
clickDown,pause,4.502500340529183,238,21,none,0,1,1,click,5
clickDown,pause,4.502500340529183,238,21,none,0,2,1,barspace,6
clickDown,pause,4.502500340529183,238,21,none,0,2,1,click,5
clickDown,pause,4.502500340529183,238,21,none,0,2,2,barspace,1
clickDown,pause,5.0,336,21,green,0,1,0,barspace,23
clickDown,pause,5.0,336,21,green,0,1,0,click,27
clickDown,pause,5.0,336,21,green,0,1,1,barspace,3
clickDown,pause,5.0,336,21,green,0,1,1,click,3
clickDown,pause,5.0,336,21,green,0,2,1,barspace,5
clickDown,pause,5.0,336,21,green,0,2,1,click,5
clickDown,pause,5.0,336,21,green,15,1,0,barspace,28
clickDown,pause,5.0,336,21,green,15,1,0,click,28
clickDown,pause,5.0,336,21,green,15,1,1,barspace,1
clickDown,pause,5.0,336,21,green,15,1,1,click,1
clickDown,pause,5.0,336,21,none,0,1,0,barspace,22
clickDown,pause,5.0,336,21,none,0,1,0,click,27
clickDown,pause,5.0,336,21,none,0,1,1,barspace,5
clickDown,pause,5.0,336,21,none,0,1,1,click,1
clickDown,pause,5.0,336,21,none,0,2,1,barspace,4
clickDown,pause,5.0,336,21,none,0,2,1,click,2
clickDown,pause,5.0,336,21,none,0,2,2,barspace,1
clickDown,pause,5.0,336,21,none,0,3,2,click,1
clickDown,pause,5.0,336,21,none,0,3,3,barspace,1
clickDown,pause,5.0,672,42,green,0,1,0,barspace,26
clickDown,pause,5.0,672,42,green,0,1,0,click,22
clickDown,pause,5.0,672,42,green,0,1,1,barspace,1
clickDown,pause,5.0,672,42,green,0,1,1,click,1
clickDown,pause,5.0,672,42,green,0,2,1,barspace,4
clickDown,pause,5.0,672,42,green,0,2,1,click,8
clickDown,pause,5.0,672,42,green,0,2,2,click,1
clickDown,pause,5.0,672,42,green,0,3,2,click,1
clickDown,pause,5.0,672,42,green,0,4,4,barspace,1
clickDown,pause,5.0,672,42,green,15,1,0,barspace,28
clickDown,pause,5.0,672,42,green,15,1,0,click,23
clickDown,pause,5.0,672,42,green,15,1,1,click,2
clickDown,pause,5.0,672,42,green,15,2,1,barspace,2
clickDown,pause,5.0,672,42,green,15,2,1,click,2
clickDown,pause,5.0,672,42,green,15,2,2,barspace,1
clickDown,pause,5.0,672,42,green,15,3,2,barspace,1
clickDown,pause,5.0,672,42,green,15,3,2,click,1
clickDown,pause,5.0,672,42,none,0,1,0,barspace,24
clickDown,pause,5.0,672,42,none,0,1,0,click,24
clickDown,pause,5.0,672,42,none,0,2,1,barspace,8
clickDown,pause,5.0,672,42,none,0,2,1,click,5
clickDown,pause,6.0,672,21,green,0,1,0,barspace,20
clickDown,pause,6.0,672,21,green,0,1,0,click,23
clickDown,pause,6.0,672,21,green,0,1,1,barspace,3
clickDown,pause,6.0,672,21,green,0,1,1,click,3
clickDown,pause,6.0,672,21,green,0,2,1,barspace,8
clickDown,pause,6.0,672,21,green,0,2,1,click,5
clickDown,pause,6.0,672,21,green,15,1,0,barspace,29
clickDown,pause,6.0,672,21,green,15,1,0,click,30
clickDown,pause,6.0,672,21,green,15,1,1,barspace,1
clickDown,pause,6.0,672,21,green,15,2,1,barspace,2
clickDown,pause,6.0,672,21,green,15,2,1,click,4
clickDown,pause,6.0,672,21,none,0,1,0,barspace,21
clickDown,pause,6.0,672,21,none,0,1,0,click,22
clickDown,pause,6.0,672,21,none,0,1,1,barspace,3
clickDown,pause,6.0,672,21,none,0,1,1,click,3
clickDown,pause,6.0,672,21,none,0,2,1,barspace,6
clickDown,pause,6.0,672,21,none,0,2,1,click,6
clickDown,pause,6.0,672,21,none,0,2,2,barspace,2
clickDown,pause,6.0,672,21,none,0,4,3,barspace,1
clickDown,rapid+slow,2.5025003405291835,238,84,green,0,1,0,click,1
clickDown,rapid+slow,2.5025003405291835,238,84,green,15,1,0,barspace,2
clickDown,rapid+slow,2.5025003405291835,238,84,green,15,1,0,click,2
clickDown,rapid+slow,2.5025003405291835,238,84,none,0,1,0,barspace,1
clickDown,rapid+slow,2.5025003405291835,238,84,none,0,1,0,click,2
clickDown,rapid+slow,3.0,336,84,green,0,1,0,click,1
clickDown,rapid+slow,3.0,336,84,green,15,1,0,barspace,1
clickDown,rapid+slow,3.0,336,84,green,15,1,0,click,1
clickDown,rapid+slow,3.0,336,84,none,0,1,0,barspace,1
clickDown,rapid+slow,3.0,336,84,none,0,1,0,click,2
clickDown,rapid+slow,3.5025003405291835,238,42,green,0,1,0,click,1
clickDown,rapid+slow,4.0,336,42,none,0,2,1,barspace,1
clickDown,rapid+slow,4.0,672,84,green,0,1,0,click,2
clickDown,rapid+slow,4.0,672,84,green,15,1,0,click,4
clickDown,rapid+slow,5.0,336,21,green,15,1,0,click,1
clickDown,rapid+slow,5.0,336,21,none,0,2,1,barspace,1
clickDown,rapid+slow,5.0,672,42,none,0,1,0,click,1
clickDown,rapid+slow,6.0,672,21,green,0,1,0,click,1
clickDown,slow,2.5025003405291835,238,84,green,0,1,0,barspace,3
clickDown,slow,2.5025003405291835,238,84,green,0,1,0,click,4
clickDown,slow,2.5025003405291835,238,84,green,0,1,1,barspace,2
clickDown,slow,2.5025003405291835,238,84,green,15,1,0,barspace,4
clickDown,slow,2.5025003405291835,238,84,green,15,1,0,click,5
clickDown,slow,2.5025003405291835,238,84,none,0,1,0,barspace,4
clickDown,slow,2.5025003405291835,238,84,none,0,1,0,click,4
clickDown,slow,2.5025003405291835,238,84,none,0,1,1,click,2
clickDown,slow,2.5025003405291835,238,84,none,0,2,1,barspace,2
clickDown,slow,3.0,336,84,green,0,1,0,barspace,1
clickDown,slow,3.0,336,84,green,0,1,0,click,5
clickDown,slow,3.0,336,84,green,0,2,1,barspace,1
clickDown,slow,3.0,336,84,green,15,1,0,barspace,4
clickDown,slow,3.0,336,84,green,15,1,0,click,6
clickDown,slow,3.0,336,84,none,0,1,0,barspace,1
clickDown,slow,3.0,336,84,none,0,1,0,click,3
clickDown,slow,3.0,336,84,none,0,2,1,barspace,2
clickDown,slow,3.0,336,84,none,0,2,2,barspace,1
clickDown,slow,3.5025003405291835,238,42,green,0,1,0,barspace,2
clickDown,slow,3.5025003405291835,238,42,green,0,1,1,barspace,1
clickDown,slow,3.5025003405291835,238,42,green,0,2,1,barspace,2
clickDown,slow,3.5025003405291835,238,42,green,15,1,0,barspace,2
clickDown,slow,3.5025003405291835,238,42,green,15,1,0,click,3
clickDown,slow,3.5025003405291835,238,42,none,0,1,0,barspace,2
clickDown,slow,3.5025003405291835,238,42,none,0,1,0,click,3
clickDown,slow,3.5025003405291835,238,42,none,0,1,1,barspace,1
clickDown,slow,3.5025003405291835,238,42,none,0,2,1,barspace,1
clickDown,slow,3.5025003405291835,238,42,none,0,2,1,click,1
clickDown,slow,4.0,336,42,green,0,1,0,barspace,2
clickDown,slow,4.0,336,42,green,0,1,0,click,1
clickDown,slow,4.0,336,42,green,0,1,1,click,1
clickDown,slow,4.0,336,42,green,0,2,1,barspace,2
clickDown,slow,4.0,336,42,green,15,1,0,barspace,2
clickDown,slow,4.0,336,42,green,15,1,0,click,1
clickDown,slow,4.0,336,42,green,15,1,1,click,1
clickDown,slow,4.0,336,42,none,0,1,0,barspace,3
clickDown,slow,4.0,336,42,none,0,1,0,click,3
clickDown,slow,4.0,336,42,none,0,1,1,barspace,1
clickDown,slow,4.0,336,42,none,0,2,1,click,2
clickDown,slow,4.0,336,42,none,0,3,2,barspace,1
clickDown,slow,4.0,336,42,none,0,3,3,barspace,1
clickDown,slow,4.0,672,84,green,0,1,0,barspace,3
clickDown,slow,4.0,672,84,green,0,1,0,click,5
clickDown,slow,4.0,672,84,green,0,2,1,click,1
clickDown,slow,4.0,672,84,green,15,1,0,barspace,2
clickDown,slow,4.0,672,84,green,15,1,0,click,2
clickDown,slow,4.0,672,84,green,15,1,1,barspace,1
clickDown,slow,4.0,672,84,none,0,1,0,barspace,1
clickDown,slow,4.0,672,84,none,0,1,0,click,1
clickDown,slow,4.0,672,84,none,0,2,1,barspace,1
clickDown,slow,4.502500340529183,238,21,green,0,1,0,barspace,2
clickDown,slow,4.502500340529183,238,21,green,0,2,1,barspace,2
clickDown,slow,4.502500340529183,238,21,green,15,1,0,barspace,3
clickDown,slow,4.502500340529183,238,21,green,15,1,0,click,1
clickDown,slow,4.502500340529183,238,21,none,0,1,0,barspace,1
clickDown,slow,4.502500340529183,238,21,none,0,1,0,click,1
clickDown,slow,4.502500340529183,238,21,none,0,2,2,barspace,1
clickDown,slow,5.0,336,21,green,0,1,0,barspace,2
clickDown,slow,5.0,336,21,green,15,1,0,barspace,1
clickDown,slow,5.0,336,21,green,15,1,0,click,1
clickDown,slow,5.0,336,21,none,0,2,1,click,1
clickDown,slow,5.0,672,42,green,0,1,0,barspace,4
clickDown,slow,5.0,672,42,green,0,2,1,click,1
clickDown,slow,5.0,672,42,green,15,1,0,barspace,2
clickDown,slow,5.0,672,42,green,15,1,0,click,1
clickDown,slow,5.0,672,42,none,0,1,0,click,2
clickDown,slow,5.0,672,42,none,0,2,1,barspace,2
clickDown,slow,6.0,672,21,green,0,1,0,barspace,3
clickDown,slow,6.0,672,21,green,0,1,0,click,4
clickDown,slow,6.0,672,21,green,15,1,0,barspace,1
clickDown,slow,6.0,672,21,none,0,1,0,barspace,1
clickDown,slow,6.0,672,21,none,0,2,1,barspace,1
clickDown,slow+rapid,2.5025003405291835,238,84,green,0,1,0,click,2
clickDown,slow+rapid,2.5025003405291835,238,84,green,0,2,1,barspace,1
clickDown,slow+rapid,2.5025003405291835,238,84,green,15,1,0,click,1
clickDown,slow+rapid,2.5025003405291835,238,84,none,0,1,0,click,1
clickDown,slow+rapid,2.5025003405291835,238,84,none,0,1,1,click,1
clickDown,slow+rapid,3.0,336,84,green,0,1,0,click,1
clickDown,slow+rapid,3.0,336,84,green,15,1,0,barspace,3
clickDown,slow+rapid,3.0,336,84,green,15,1,0,click,1
clickDown,slow+rapid,3.0,336,84,none,0,1,0,click,3
clickDown,slow+rapid,3.5025003405291835,238,42,green,0,1,0,barspace,2
clickDown,slow+rapid,3.5025003405291835,238,42,green,0,1,1,barspace,1
clickDown,slow+rapid,3.5025003405291835,238,42,none,0,1,0,click,1
clickDown,slow+rapid,3.5025003405291835,238,42,none,0,2,1,barspace,1
clickDown,slow+rapid,3.5025003405291835,238,42,none,0,2,1,click,2
clickDown,slow+rapid,4.0,336,42,green,15,1,0,barspace,1
clickDown,slow+rapid,4.0,336,42,green,15,1,0,click,2
clickDown,slow+rapid,4.0,336,42,green,15,1,1,barspace,1
clickDown,slow+rapid,4.0,336,42,none,0,1,0,click,2
clickDown,slow+rapid,4.0,672,84,green,0,1,0,barspace,2
clickDown,slow+rapid,4.0,672,84,green,15,1,0,barspace,1
clickDown,slow+rapid,4.0,672,84,green,15,1,0,click,2
clickDown,slow+rapid,4.0,672,84,none,0,1,0,barspace,1
clickDown,slow+rapid,4.502500340529183,238,21,green,0,1,0,barspace,2
clickDown,slow+rapid,4.502500340529183,238,21,green,0,1,0,click,1
clickDown,slow+rapid,4.502500340529183,238,21,none,0,1,1,barspace,1
clickDown,slow+rapid,5.0,336,21,green,15,1,0,barspace,1
clickDown,slow+rapid,5.0,336,21,none,0,1,0,barspace,1
clickDown,slow+rapid,5.0,672,42,green,15,1,0,barspace,2
clickDown,slow+rapid,5.0,672,42,none,0,1,0,barspace,1
clickDown,slow+rapid,5.0,672,42,none,0,1,0,click,1
clickDown,slow+rapid,6.0,672,21,green,15,1,0,barspace,1
clickDown,slow+rapid,6.0,672,21,none,0,1,0,barspace,1
clickUp,pause,2.5025003405291835,238,84,green,0,1,0,barspace,24
clickUp,pause,2.5025003405291835,238,84,green,0,1,0,click,36
clickUp,pause,2.5025003405291835,238,84,green,0,1,1,barspace,9
clickUp,pause,2.5025003405291835,238,84,green,0,2,1,barspace,3
clickUp,pause,2.5025003405291835,238,84,green,15,1,0,barspace,32
clickUp,pause,2.5025003405291835,238,84,green,15,1,0,click,35
clickUp,pause,2.5025003405291835,238,84,green,15,1,1,barspace,3
clickUp,pause,2.5025003405291835,238,84,green,15,2,1,barspace,1
clickUp,pause,2.5025003405291835,238,84,green,15,2,1,click,1
clickUp,pause,2.5025003405291835,238,84,none,0,1,0,barspace,29
clickUp,pause,2.5025003405291835,238,84,none,0,1,0,click,25
clickUp,pause,2.5025003405291835,238,84,none,0,1,1,barspace,4
clickUp,pause,2.5025003405291835,238,84,none,0,1,1,click,3
clickUp,pause,2.5025003405291835,238,84,none,0,2,1,barspace,3
clickUp,pause,2.5025003405291835,238,84,none,0,2,1,click,5
clickUp,pause,3.0,336,84,green,0,1,0,barspace,29
clickUp,pause,3.0,336,84,green,0,1,0,click,29
clickUp,pause,3.0,336,84,green,0,1,1,barspace,3
clickUp,pause,3.0,336,84,green,0,2,1,barspace,3
clickUp,pause,3.0,336,84,green,0,2,1,click,6
clickUp,pause,3.0,336,84,green,0,2,2,click,1
clickUp,pause,3.0,336,84,green,15,1,0,barspace,28
clickUp,pause,3.0,336,84,green,15,1,0,click,31
clickUp,pause,3.0,336,84,green,15,1,1,barspace,6
clickUp,pause,3.0,336,84,green,15,1,1,click,1
clickUp,pause,3.0,336,84,green,15,2,1,click,3
clickUp,pause,3.0,336,84,none,0,1,0,barspace,25
clickUp,pause,3.0,336,84,none,0,1,0,click,33
clickUp,pause,3.0,336,84,none,0,1,1,barspace,5
clickUp,pause,3.0,336,84,none,0,1,1,click,3
clickUp,pause,3.0,336,84,none,0,2,1,barspace,5
clickUp,pause,3.0,336,84,none,0,2,2,barspace,1
clickUp,pause,3.5025003405291835,238,42,green,0,1,0,barspace,27
clickUp,pause,3.5025003405291835,238,42,green,0,1,0,click,32
clickUp,pause,3.5025003405291835,238,42,green,0,1,1,barspace,5
clickUp,pause,3.5025003405291835,238,42,green,0,1,1,click,2
clickUp,pause,3.5025003405291835,238,42,green,0,2,1,barspace,2
clickUp,pause,3.5025003405291835,238,42,green,0,2,1,click,2
clickUp,pause,3.5025003405291835,238,42,green,0,2,2,barspace,1
clickUp,pause,3.5025003405291835,238,42,green,15,1,0,barspace,33
clickUp,pause,3.5025003405291835,238,42,green,15,1,0,click,31
clickUp,pause,3.5025003405291835,238,42,green,15,1,1,barspace,1
clickUp,pause,3.5025003405291835,238,42,green,15,1,1,click,1
clickUp,pause,3.5025003405291835,238,42,green,15,2,1,barspace,2
clickUp,pause,3.5025003405291835,238,42,green,15,2,1,click,2
clickUp,pause,3.5025003405291835,238,42,none,0,1,0,barspace,24
clickUp,pause,3.5025003405291835,238,42,none,0,1,0,click,27
clickUp,pause,3.5025003405291835,238,42,none,0,1,1,barspace,8
clickUp,pause,3.5025003405291835,238,42,none,0,1,1,click,3
clickUp,pause,3.5025003405291835,238,42,none,0,2,1,barspace,4
clickUp,pause,3.5025003405291835,238,42,none,0,2,1,click,4
clickUp,pause,4.0,336,42,green,0,1,0,barspace,30
clickUp,pause,4.0,336,42,green,0,1,0,click,29
clickUp,pause,4.0,336,42,green,0,1,1,click,2
clickUp,pause,4.0,336,42,green,0,2,1,barspace,6
clickUp,pause,4.0,336,42,green,0,2,1,click,5
clickUp,pause,4.0,336,42,green,15,1,0,barspace,31
clickUp,pause,4.0,336,42,green,15,1,0,click,33
clickUp,pause,4.0,336,42,green,15,1,1,barspace,2
clickUp,pause,4.0,336,42,green,15,1,1,click,1
clickUp,pause,4.0,336,42,none,0,1,0,barspace,26
clickUp,pause,4.0,336,42,none,0,1,0,click,29
clickUp,pause,4.0,336,42,none,0,1,1,barspace,3
clickUp,pause,4.0,336,42,none,0,1,1,click,2
clickUp,pause,4.0,336,42,none,0,2,1,barspace,2
clickUp,pause,4.0,336,42,none,0,2,1,click,3
clickUp,pause,4.0,336,42,none,0,2,2,click,1
clickUp,pause,4.0,336,42,none,0,3,2,barspace,1
clickUp,pause,4.0,336,42,none,0,3,3,barspace,1
clickUp,pause,4.0,672,84,green,0,1,0,barspace,31
clickUp,pause,4.0,672,84,green,0,1,0,click,32
clickUp,pause,4.0,672,84,green,0,1,1,barspace,1
clickUp,pause,4.0,672,84,green,0,1,1,click,2
clickUp,pause,4.0,672,84,green,0,2,1,barspace,2
clickUp,pause,4.0,672,84,green,0,2,1,click,2
clickUp,pause,4.0,672,84,green,15,1,0,barspace,26
clickUp,pause,4.0,672,84,green,15,1,0,click,32
clickUp,pause,4.0,672,84,green,15,1,1,barspace,4
clickUp,pause,4.0,672,84,green,15,2,1,barspace,2
clickUp,pause,4.0,672,84,green,15,2,1,click,1
clickUp,pause,4.0,672,84,none,0,1,0,barspace,23
clickUp,pause,4.0,672,84,none,0,1,0,click,27
clickUp,pause,4.0,672,84,none,0,1,1,barspace,4
clickUp,pause,4.0,672,84,none,0,1,1,click,3
clickUp,pause,4.0,672,84,none,0,2,1,barspace,8
clickUp,pause,4.0,672,84,none,0,2,1,click,5
clickUp,pause,4.502500340529183,238,21,green,0,1,0,barspace,24
clickUp,pause,4.502500340529183,238,21,green,0,1,0,click,26
clickUp,pause,4.502500340529183,238,21,green,0,1,1,barspace,5
clickUp,pause,4.502500340529183,238,21,green,0,1,1,click,6
clickUp,pause,4.502500340529183,238,21,green,0,2,1,barspace,4
clickUp,pause,4.502500340529183,238,21,green,0,2,1,click,2
clickUp,pause,4.502500340529183,238,21,green,0,2,2,barspace,1
clickUp,pause,4.502500340529183,238,21,green,0,2,2,click,1
clickUp,pause,4.502500340529183,238,21,green,0,3,2,barspace,1
clickUp,pause,4.502500340529183,238,21,green,0,4,3,barspace,1
clickUp,pause,4.502500340529183,238,21,green,15,1,0,barspace,31
clickUp,pause,4.502500340529183,238,21,green,15,1,0,click,23
clickUp,pause,4.502500340529183,238,21,green,15,1,1,click,1
clickUp,pause,4.502500340529183,238,21,green,15,2,1,barspace,4
clickUp,pause,4.502500340529183,238,21,green,15,2,1,click,2
clickUp,pause,4.502500340529183,238,21,none,0,1,0,barspace,23
clickUp,pause,4.502500340529183,238,21,none,0,1,0,click,23
clickUp,pause,4.502500340529183,238,21,none,0,1,1,barspace,5
clickUp,pause,4.502500340529183,238,21,none,0,1,1,click,5
clickUp,pause,4.502500340529183,238,21,none,0,2,1,barspace,6
clickUp,pause,4.502500340529183,238,21,none,0,2,1,click,5
clickUp,pause,4.502500340529183,238,21,none,0,2,2,barspace,2
clickUp,pause,5.0,336,21,green,0,1,0,barspace,25
clickUp,pause,5.0,336,21,green,0,1,0,click,27
clickUp,pause,5.0,336,21,green,0,1,1,barspace,3
clickUp,pause,5.0,336,21,green,0,1,1,click,3
clickUp,pause,5.0,336,21,green,0,2,1,barspace,5
clickUp,pause,5.0,336,21,green,0,2,1,click,5
clickUp,pause,5.0,336,21,green,15,1,0,barspace,30
clickUp,pause,5.0,336,21,green,15,1,0,click,30
clickUp,pause,5.0,336,21,green,15,1,1,barspace,1
clickUp,pause,5.0,336,21,green,15,1,1,click,1
clickUp,pause,5.0,336,21,none,0,1,0,barspace,23
clickUp,pause,5.0,336,21,none,0,1,0,click,27
clickUp,pause,5.0,336,21,none,0,1,1,barspace,5
clickUp,pause,5.0,336,21,none,0,1,1,click,1
clickUp,pause,5.0,336,21,none,0,2,1,barspace,5
clickUp,pause,5.0,336,21,none,0,2,1,click,3
clickUp,pause,5.0,336,21,none,0,2,2,barspace,1
clickUp,pause,5.0,336,21,none,0,3,2,click,1
clickUp,pause,5.0,336,21,none,0,3,3,barspace,1
clickUp,pause,5.0,672,42,green,0,1,0,barspace,30
clickUp,pause,5.0,672,42,green,0,1,0,click,22
clickUp,pause,5.0,672,42,green,0,1,1,barspace,1
clickUp,pause,5.0,672,42,green,0,1,1,click,1
clickUp,pause,5.0,672,42,green,0,2,1,barspace,4
clickUp,pause,5.0,672,42,green,0,2,1,click,9
clickUp,pause,5.0,672,42,green,0,2,2,click,1
clickUp,pause,5.0,672,42,green,0,3,2,click,1
clickUp,pause,5.0,672,42,green,0,4,4,barspace,1
clickUp,pause,5.0,672,42,green,15,1,0,barspace,32
clickUp,pause,5.0,672,42,green,15,1,0,click,24
clickUp,pause,5.0,672,42,green,15,1,1,click,2
clickUp,pause,5.0,672,42,green,15,2,1,barspace,2
clickUp,pause,5.0,672,42,green,15,2,1,click,2
clickUp,pause,5.0,672,42,green,15,2,2,barspace,1
clickUp,pause,5.0,672,42,green,15,3,2,barspace,1
clickUp,pause,5.0,672,42,green,15,3,2,click,1
clickUp,pause,5.0,672,42,none,0,1,0,barspace,25
clickUp,pause,5.0,672,42,none,0,1,0,click,28
clickUp,pause,5.0,672,42,none,0,2,1,barspace,10
clickUp,pause,5.0,672,42,none,0,2,1,click,5
clickUp,pause,6.0,672,21,green,0,1,0,barspace,23
clickUp,pause,6.0,672,21,green,0,1,0,click,28
clickUp,pause,6.0,672,21,green,0,1,1,barspace,3
clickUp,pause,6.0,672,21,green,0,1,1,click,3
clickUp,pause,6.0,672,21,green,0,2,1,barspace,8
clickUp,pause,6.0,672,21,green,0,2,1,click,5
clickUp,pause,6.0,672,21,green,15,1,0,barspace,31
clickUp,pause,6.0,672,21,green,15,1,0,click,30
clickUp,pause,6.0,672,21,green,15,1,1,barspace,1
clickUp,pause,6.0,672,21,green,15,2,1,barspace,2
clickUp,pause,6.0,672,21,green,15,2,1,click,4
clickUp,pause,6.0,672,21,none,0,1,0,barspace,23
clickUp,pause,6.0,672,21,none,0,1,0,click,22
clickUp,pause,6.0,672,21,none,0,1,1,barspace,3
clickUp,pause,6.0,672,21,none,0,1,1,click,3
